	status	tissue
BC_Lung_TD37	cancer	lung
BC_Breast_TD20	cancer	breast
BC_Lung_TD9	cancer	lung
BC_Lung_ND4	healthy	lung
BC_Stomach_TD25	cancer	stomach
BC_CRC_TD24	cancer	colon
BC_Stomach_TD21	cancer	stomach
BC_Stomach_TD2	cancer	stomach
BC_Stomach_TD26	cancer	stomach
BC_Lung_TD15	cancer	lung
BC_Stomach_TD27	cancer	stomach
BC_Lung_TD19	cancer	lung
BC_Lung_TD11	cancer	lung
BC_CRC_ND2	healthy	colon
BC_Stomach_TD36	cancer	stomach
BC_Breast_TD30	cancer	breast
BC_Breast_ND7	healthy	breast
BC_CRC_TD22	cancer	colon
BC_Stomach_TD10	cancer	stomach
BC_Lung_TD34	cancer	lung
